text,sentiment
"Penasaran guwah pengen baca cuitan dari orang2 Yg dulu memuja habis2an dan memuji bergabungnya sang macan adlh strategi jitu yg berdampak akan dibebaskannya para tahanan politik pro 02. Lengkap dgn video para tahanan yg ""katanya"" dibebaskan. Faktanya ? @evalez_fr @adisaelangi2010 https://t.co/q4v6itBkiJ",negative
"Selamat Ultah Ibu Tersayang,.. Tersemat Kado Special dr Kader2mu,... ""Gerakan Mencintai Bumi"" .. Gerakan Cinta NKRI !  Semoga Diberikan Kesehatan, Tetap Menjadi Inspirasi &amp; Berkat Terindah Bagi Indonesia. Terima Kasih Bu ...  #UltahBuMega   https://t.co/zACvaZugML https://t.co/VySzTWyMty",positive
"Berkembang berita di komunitas investasi, ada perusahaan X(cendol)X sudah lapse di pembayaran ke nasabah. Perusahaan ini sgt kental dgn dunia politik.",netral
"Bagaikan Sunan Bonang (Wali Songo) yg mengenalkan Islam melalui kesenian gamelan pada awam, ayo kita coba menyuarakan fakta &amp; aspirasi politik pada dede dede generasi virtual melalui Tiktok 🤣 https://t.co/JRqu3TcSWL",positive
"Ramalan Politik 2019, Akan ada guncangan Politik Nasional",netral
"Ketua Demokrat: Dari Sudut Manapun, Menkumham Pantas Diberhentikan #BongkarSkandalKPU #YasonnaLaoly #RepublikMerdeka https://t.co/fonqNNDjbd",positive
"Fadli Zon Gelar Polling, 100 Hari Jokowi-Ma'ruf Ekonomi Memburuk - VIVAnews https://t.co/Pkg0E3gmSs",negative
"@aiek_esthreem Dwi Fungsi ABRI DiKulkas, Dwi Fungsi Baju Coklat Istimewa'h, bisa Dukung elite Politik Berkuasa, Buronan Tindak Pidana Parpol dgn KPU bisa dipantau tidak Babak Belur, Kecuali Wartawan JURDIL Ikhlas LillahiTa'ala hanya Mengabdi Rakyat,bisa bocor tuh barang?",netral
"Kekuasaan politik digunakan untuk menutupi kejahatan dan menghalang-halangi keadilan. Perbedaan pendapat dan sikap politik diperlakukan sebagai ancaman. Oposisi dibunuh karakternya melalui operasi intelejen.   Syahdan, sebuah bangsa yang berjuang demi kemerdekaan dari penjajahan.",negative
Ternyata buron korupsi lebih lihai ngumpet dibandingkan teroris !  https://t.co/CRTGPFQrkU,negative
@collegemenfess Dikata pasti bahasa Inggris nya bagus padahal harus kuatin di politik :),netral
"Pengamat politik tapi mengamatinya di dalam gua 😩😩 ya seperti ini hasil nya   Pengamat:   @MulfachriH Belum Punya Popularitas, Kalaupun Terpilih Hanya Akan Jadi 'Wayang' Amien Rais  #MHforPAN1 https://t.co/wIYOAh1x7w https://t.co/nvTQROe8fu",negative
"Pertanyaan yg muncul, apa kewenangan Menkeu bagi2 uang ke ormas dan sumbernya dari mana ? 1) kalau dari APBN - kenapa hanya NU dan apa ada dlm APBN ? 2) kalau dari Bank, Menkeu lakukan intervensi ke Bank ? Ini pelanggaran 3) atau Bu Menkeu skrg punya sumber dana ""politik"" ? https://t.co/Lu5NsE4R1q",netral
"Sbg pemenang Pemilu, Ketua Umum PDI Perjuangan melepaskan hak nya utk jadi Calon Presiden 2014, butuh kekuatan psikologis yg dahsyat.. Megawati berikan kpd @jokowi   Sebuah tradisi baru dlm Politik Indonesia. Ketua Umum, perempuan sekaligus seorang ibu  #UltahBuMega @evndari",positive
Menakar Nalar Pernyataan Wanita Muslimah Tidak Wajib Pakai Jilbab  Oleh : Ainul Mizan (Pemerhati Sosial dan Politik)  Pernyataan bahwa wanita muslimah tidak wajib memakai jilbab bisa berdampak serius. Seolah menjadi legitimasi bagi wanita muslimah yang b… https://t.co/Rx2nGECFXD,negative
"Gerindra: Pengakuan Ronny Sompie Pertegas Yasonna Laoly Harus Ditangkap “Bagaimana nggak rusak negara ini kalau demi lindungi pelaku suap, penegak hukum dan pejabat negara bohongi rakyat,”  https://t.co/Icpe8Sag34",negative
PADI Yakin Genggam Sebagian Besar Rekomendasi Parpol di Manokwari https://t.co/pS0GwNKGxR https://t.co/vSgu7Qe9sf,positive
"Tulisan baru saya di @historia_id tentang orang Indonesia yang jadi agen OSS, pendahulu CIA. Kegiatannya diketahui, dia dieksekusi. https://t.co/Wv5y0Z7zI3",netral
Sokong Mahathir tapi x pernah kerja cabang politik bawah Mahathir kikiki..,netral
SMI kan proksi ki lurah. Tentu saja bagi2 uang utk dukung agenda politik ki lurah https://t.co/fGeWMq802A,netral
"Tidak Terima Dituduh, Kontraktor Revitalisasi Monas Tantang PSI  #RevitalisasiMonas #DKIJakarta #RepublikMerdeka https://t.co/Urc6jTwZ9d -",negative
"Setelah KPK, Koalisi Masyarakat Sipil Anti Korupsi Akan Laporkan Yasonna Laoly Ke Ombudsman RI #Menkumham #PDIP #RepublikMerdeka https://t.co/DKewErNAsj",positive
Knp si org tuh main kampanye boykot2. Ngasih rating jelek cuma gara2 politik yg gaada sangkut pautnya. Matiin rezeki orang banyak da mereka tuh perusahaan besar.,negative
"kesian dengan ruwaq jawi. sentiasa menjadi mangsa politik.  letak tepi politik, Ruwaq jawi tempat persiapan azhariyyin dipenuhkan dengan ilmu untuk berbakti kepada masyarakat.  bukan tempat persiapan nak berlaga politik 24 jam.  #ruwaq_jawi_di_hati_ummah",netral
"Slain perjalanan hidup &amp; politik Mbak Mega yg menarik  1 momentum yg jadi sejarah bagi Indonesia, ketika Mbak Mega menunjuk @jokowi jd Capres di tahun 2014 yg lalu. Ketua Umum Partai pemenang Pemilu melepas hak nya utk jadi Capres  Mega bukan org biasa..  #UltahBuMega @evndari",netral
@Farahin_Zamri @nawalbiebs politik skunk penting sebab kita dah boleh mengundi so ko kena tahu sapa yang kau nak undi tu pahe...?,netral
@BayuPutra212 @hnurwahid @PKSejahtera Ini yg gak bisa dipercaya🤭 https://t.co/b77BTqjla9,negative
Konteks nya seseorang tu murtad dengan agenda politik. Dulu agama dan politik/status/kabilah adalah satu.  Bila murtad dan mewar-warkan kepada semua memang akan membawa kecelaruan dan mudharat lebih besar.   Itupun hukuman bunuh kata putusnya ditentukan pemerintah...,negative
@kekekapriana Bau2nya politik ekonomi sih.  Eh agama juga politik ekonomi ya?,netral
@qudanielz kira2 ada isu politik apa dewasa ini???,netral
"@wawat_kurniawan Pertanyaan yg muncul, apa kewenangan Menkeu bagi2 uang ke ormas dan sumbernya dari mana ? 1) kalau dari APBN - kenapa hanya NU dan apa ada dlm APBN ? 2) kalau dari Bank, Menkeu lakukan intervensi ke Bank ? Ini pelanggaran 3) atau Bu Menkeu skrg punya sumber dana ""politik"" ?",netral
"@elmiyyin sekarang ni kena berpegang dengan Nahdhatul Ulama, tapi sayangnya Nahdhatul Ulama bukan parti politik 😭😭",netral
@PartaiSocmed Waspada bolehlah. Politik itu dinamis,netral
Di era SBY papua dihargai dan di anakmaskan dalam pelayanan permerintah pusat. Hal2 yg menjadi hak2 dasar OAP diberikan. Aman dan damai. Di era petugas partai papua hanya di jadikan pencitraan untuk kepentingan politik. https://t.co/j0xYJojoFC,negative
"@CH_chotimah MENANG ITU BELUM TENTU BENAR, DAN KALAH ITU BELUM TENTU SALAH...  KAMU PIKIR JOKOWI DAN PDIP BENAR KARENA MEMANG BERKALI2...  BOCAH INGUSAN NGOMONG POLITIK.. YA BEGINI JADINYA   ANCUR PAK DHE😂😂😂",negative
Arteria meminta soal keberadaan Harun Masiku tak perlu dibesar-besarkan. https://t.co/6ZKIlkO1yD,netral
"Gagal Bertemu Yasonna, Warga Bakal Boikot Pelabuhan Tanjung Priok #YasonnaLaoly #TanjungPriok #RepublikMerdeka https://t.co/yMGnAvAoTj",negative
"PLS RT: Kartu Subsidi LPG 3kg, yg dimanipulasi BajeRp pembenci @jokowi seolah subsidi sama sekali dicabut.  Sebenarnya sy ud males ngomong politik, tp rakyat dibikin bodoh lg dgn penyesatan. Sy bantu jelasin ya  Bantu RT di sini. Seikhlasnya ga perlu 999, bukan bajeRp  @mamaciaaa https://t.co/Cps5MjJP6P",negative
Selamat ulang tahun Ibu Megawati Soekarnoputri Semoga sllu dlm lindungan Allah SWT Amin. #UltahBuMega Megawati ultah kader @PDI_Perjuangan Beri kado istimewa  https://t.co/Z3Mys3iEk1,positive
Si @fajarnugros gak kebagian jatah di bekraf atau emang dia yg bodoh? 😂😂😂 Kalo gak salah gw pernah bilang urusin film aja gak usah urusin politik... Sekarang masuk barisan sakit hati 😂😂🤣 https://t.co/f9C3pq4fxZ,negative
"“Kami melihat berbagai kasus megakorupsi merupakan modus dlm penyelenggaraan kekuasaan yg zalim, licik dan rakus. Kami mendesak masyarakat utk melakukan perlawanan thd rezim korup, zalim dan penipu,” demikian pernyataan tertulis FPI, GNPF-Ulama dan PA 212  https://t.co/bpEwA7pfg8",positive
"Bhuahahaha..Hah!  Emang betul sih.. Dlm politik tak ada kawan-lawan abadi, adanya cuman bedes epilepsi!  Brandal sebenernya lagi males ngetuit, baca kabar ini makin mules ke silit-silit!  ""Bobby Nasution Maju Cawalkot Medan dari Partai..""  Crott! @Gerindra https://t.co/yMFHNWGASt",negative
"Situasi mencekam. Seorang dengan pakaian tempur meminta Megawati keluar dari kongres dengan naik panser dengan alasan keamanan. Megawati menolak. 2 jam sebelum masa izin kongres berakhir, Megawati memberikan pidato politik yg menyatakan dirinya sebagai Ketua Umum secara de facto https://t.co/aTfggxi9nN",netral
"Konservatisme tetap harus dimiliki dalam taraf pandangan hidup sehari - hari maupun politik. Kita tidak pernah tahu kehancuran apa yang menanti.  Di sisi lain, pemikiran kita harus cukup fleksibel agar tidak terjebak dalam stagnasi dan menolak perkembangan.  End.",positive
“ Ada apa Om om dan Tante memanggil saya “ Tanya Megawati. Mereka bertanya tujuan putri Bung Karno terjun ke politik melalui PDI. Megawati menjawab ‘ Ik naar Merdeka Utara “. Ini jawaban keyakinan Megawati bahwa suatu saat dia akan ke Istana sebagai Presiden. https://t.co/8unhLk7cHp,positive
"@AdutSuradut1 @imanbr @mtaisar28 Tp klo org baik hanya memilih acuh dan tdk terjun ke dunia politik, lantas maukah negara kita ditata oleh politisi-politisi yg jahat ?",netral
"Adik menteri pertanian, Irman Yasin Limpo maju jalur politik. https://t.co/vYjCellPEr",positive
Ternyata intuisi Soeharo salah. PDI dan Megawati semakin popular hingga mengancam stabilitas. Bagaimana  memangkas  kepemimpinan Megawati menjadi target  operator politik orba.  Maka dibuat operasi menurunkan Megawati dari Ketua Umum dan menaikan Suryadi menjadi ketua umum PDI https://t.co/Amost7IiVR,positive
Puncak seluruh intervensi &amp; rekayasa politik terjadi pada tanggal 27 Juli 1996. Kantor Partai Demokrasi Indonesia sebagai kedaulatan politik partai dihancurkan.  Ratusan orang yang mengenakan atribut kongres menyerbu kantor DPP PDI di Jalan Diponegoro yang dikuasai kubu Megawati https://t.co/y9wa8x0Aks,negative
@adisaelangi2010 @prabowo @Dahnilanzar Korban politik... Dalangnya lagi enak carmuk ke penguasa,negative
Keren banget ini..😍  Mencintai bumi berarti menjaga bumi ini dari kerusakan demi keberlangsungan umat manusia.  Jangan tiru yang hobinya malah tebangin pohon ya..😓 #UltahBuMega https://t.co/sVqbvUnUdP,positive
"@gop_w @detikcom @detikinet Dia belum menjadi sekutu kami, dia masih menjadi musuh kami, makanya tim dari dept. keamanan politik kami mendukung upaya senat untuk memakzulkannya demi keamanan internasional",positive
Sebenarnya gak gratis.  Dulu kan mati2an dukung Capresnya.  Cuma ya bego. Negosiasinya harusnya jadiin dulu wagub. Baru dukung.  Ini malah percaya sama janji2 politik.  Udah 21 tahun padahal hahahha https://t.co/aY265Bs2I1,negative
"Percuma banget ga sih kelas staff bergelut dengan politik kantor? Kantor kecil pula. Main kubu dan saling gosip. Kayak mau perang aja.  Mending mojok kerja sendirian, pulang, dan ngisi hidup lainnya.",netral
"Jangan terkecoh dengan raja-raja yang baru muncul di tanah air. Raja sesungguhnya adalah para tamu, yang datang untuk menikmati hasil tambang, menanam modal atau sekadar menjaring ikan di laut. Mereka berkuasa menentukan arah politik, bahkan mempengaruhi pemilihan para pejabat.",netral
"@imanbr @mtaisar28 Politik itu kejam, org yg punya andil besar dalam memerdekaan Indonesia, di akhir hayatnya disia2kan oleh negara (penguasa waktu itu), makanya aku gk pernah tertarik jd bagian dr parpol. Sedih banget klo baca buku2 tentang Soekarno di akhir hayatnya, Lahul Fatihah bwt Bung Karno.",netral
INGATLAH DULU KITA PERNAH BERJANJI SELALU NGOPI BERSAMA  Jangan hanya urusan politik... Memisahkan kita... https://t.co/ugUkSQ2Fh6,netral
Gerindra: Pengakuan Ronny Sompie Pertegas Yasonna Laoly Harus Ditangkap #Freeyork #JKWtidakSampai2024 #RepublikMerdeka https://t.co/OIPMaDNLaO,netral
"@AhlulQohwah Donald trump belum menjadi sekutu kami, dia masih menjadi musuh kami, makanya tim dari dept. keamanan politik kami mendukung upaya senat untuk memakzulkannya demi keamanan internasional",positive
Pagi ini saya memberi pembekalan pada pertemuan Rapat Pimpinan Kemhan &amp; TNI 2020 (23/01). Saya menyampaikan 4 hal utama: prioritas politik luar negeri Indonesia; kerja sama Indo-Pasifik... https://t.co/n0Ske8AVh7,positive
Berbagai kasus megakorupsi akibat ulah #BangsatBangsa yang merugikan negara hingga triliunan rupiah dan kasus korupsi yang melibatkan lingkaran dalam kekuasaan semakin menggila. Bahkan ditenggarai menjadi modus untuk pembiayaan politik  https://t.co/7L4k9gMZuu. https://t.co/PYnRGpLWO1,negative
"Karena KLB dianggap gagal, maka Mendagri memutuskan diselenggarakan Munas. Untuk menghindari hambatan maka Megawati melakukan serangkaian manuver cerdik dengan safari politik ke Mendagri, Menko Polkam. Kasospol ABRI Letjen Hariyoto PS dan Pangdam Jaya Mayjend Hendro Priyono. https://t.co/8vFeV99jtp",positive
@kintantyaqa suka politik sekarang? wahahhahha,netral
"Baru dua hari magang di Pemprov, ak udh mulai kelelahan. Dunia perkantoran bner2 bukan gua bangett. Apalagi ditaro bagian humas, yang dsruh buat rilis sgala macem. Gaenakk bangett. Dari dulu emg gaada kertertarikan sama dunia yg berbau politik.",netral
"Negara saat ini tdk bisa melindungi Jenderal yg berjasa,apa lagi jenderal yg hidupnya sederhana,tdk korupsi,anti PKI seperti Kivlan Zen. Nagara hanya ada buat Jenderal yg kaya raya,yg sepatunya tak kena lumpur.  Tapi selalu ada buat semacam wiranto Hanya krn beda pilihan politik. https://t.co/ophiFjP7dy",netral
"@chirp__john Ooowh,anjing.. Untung kamu gk mengenal politik identitas.makanya mayat yg bukan dari golongannyapun di kuburnya..😥",negative
Wapres Dorong Santri dan Pesantren Ikut Entaskan Kemiskinan https://t.co/QlbI83VCKz,positive
"@KicauSunyi Kalo bubar, nanti gk ada lagi alat politik.",netral
Dimulai dengan politik kebhinekaan. Ditutup dengan politik identitas.  #JokowiMaruf  #Jokowi2Periode,netral
"SEPENGGAL SEJARAH ISLAM DAN POLITIK  Sejarah kaum Muslim berakhir setelah Kesultanan Turki Utsmani dibubarkan pada 1 November 1922, lalu berubah haluan ke jalur nasionalisme sekuler di tangan Musthafa Kemal... https://t.co/xRiQvUcYpq",netral
Membawa agama ke politik https://t.co/hlTMJSsHNo,netral
@BangBrewokzzz @permadiaktivis Nyoblos bojo ne dewe dewe  Karohan penak  Politik marahi ndas mumet !!!,negative
"Yg satu mantan terpidana, sekarang komut pertamina ... Ditinggikan karna "" direndahkan ""  Satunya lagi mantan pecatan, sekarang gubernur terbodoh ... Direndahkan karna "" ditinggikan ""  https://t.co/WbkRqa6MZO",negative
"@triceratorss @WidasSatyo Mungkin klo dikasih kesempatan bertanya di akhir interview, bolehlah nanya:  1. Seberapa ngeselinnya politik kerja di kantor ini?? 2. Dri skala 1-5, ada brapa banyak penjilat di kantor ini??  Gw rasa HRDnya pun pengen resign (minimal curhat balik)...😜",negative
"Diduga Halangi Penyidikan, Menteri Yasonna Dilaporkan Ke KPK #BongkarSkandalKPU #YasonnaLaoly #RepublikMerdeka https://t.co/B9NLhZyrxa",netral
"Hallo, kawan-kawan mahasiswa. Selamat menjadi tuan rumah Kongres/Konferensi BEM FISIP ke-3 Se-Sumatera, 12-16 Februari 2020.👌👌👌 Ayo, anak politik, anak sosial, kita harus jadi tuan rumah yg sukses &amp; mengesankan. #AcehHebat #politik #sosial #BEMFISIP https://t.co/64KMNI2t5l",positive
Menakar Nalar Pernyataan Wanita Muslimah Tidak Wajib Pakai Jilbab: Oleh : Ainul Mizan (Pemerhati Sosial dan Politik) Pernyataan bahwa wanita muslimah tidak wajib memakai jilbab bisa berdampak serius. Seolah menjadi legitimasi bagi wanita muslimah yang… https://t.co/7GOOoAeJmz https://t.co/XYufZKv7Cl,negative
Wahai si samdol D4P @guanenglim bangsat. Hanya kaum cina @dapmalaysia bangsat sahaja yg memainkan isu perkauman di Tanah Melayu. Perpecahan akan terus berlaku selagi wujud makhluk bangsat spt anda. BANGSAT! @BetterNation3 @RameshRaoAKS @mijjemije @Alamurni https://t.co/erQUwDWcSo,negative
@p_politik jauhkan kadrun dari flores,netral
"Selamat malam Sahabat. Kali ini aku ingin membuat Utas. Bukan soal Politik. Ini soal Kehidupan. Ini Soal hati. Kuberi judul ""SIMBOK""",netral
@baehaqiazis @juliyaaaanisrn @agilkusumaaa @dimekdimek @CNNIndonesia @psi_id Secara politik kan memang bener PSI itu nyinyir nya ke ANies lawong meraka cuma lulus dprd kagak lulus di DPR,negative
"Silakan kalau ada yang tertarik - buku baru saya, ""Dakwah dan Kuasa: Jalan Terjal Ikhwanul Muslimin dalam Pentas Politik Mesir"" baru saja terbit. Buku ini adalah revisi dari Skripsi S1 saya di Jurusan @HiUGM 7 tahun silam. Diterbitkan oleh @basabasidotco   https://t.co/9VyBVaAftP",netral
"Ta'awun,agenda Penyatuan ummah,#MN antara @PASPusat  dan @umnoonline mampu cabar pengaruh Politik @pakatanharapan_   Bumi Malaysia milik Islam.,apa pilihan kita, nk bersama Islam atau bersama nafsu? Sdh pasti pemilik akal yg sihat akan memilih yg hakiki, pasti dan benar. https://t.co/T5v7fxomL7",positive
"Lim berkata, sekiranya golongan rasis, ekstremis agama dan cauvinis ini mendapat tempat dalam masyarakat, semua pihak akan rugi. #FMTNews #DAP #LImGuanEng   https://t.co/NKYmGCmRi2",negative
"Admin utama lagi libur, admin cadangan ini lagi malas nulis deskripsi, jadi kalian langsung klik aja tautan di bawah.   https://t.co/Ibd34PMNKp",netral
"Sebagai Sang Pemimpin Partai:GUS.MUHAIMIN ( Cak.Imin )biasa di Sapa.KeTum DPP PKB.BerKiprah di Politik Menteladani dari Alm GUS DUR,GUS DUR bisa mempersatukan Suku &amp; Budaya Bangsa Indonesia ( Umat berAgama ).Saat ini GUS.AMI.Bergerak Maju, bisa mengumpulkan  Antara Parpol SeDunia https://t.co/6V5BgLvaQl",positive
@My_LoveNebe Otak isinya tai onta ya begitu... Politik pakai SARA... kelompok bangsat menghalalksn segala cara... Mereka itu rakus dan korup...  Makanya pakai SARA bust merebut kekuasaan... Klo ada guru yg buat begitu mereka bangsat perusak generasi muda,negative
"Pasti orang2 kek gitu kayak toxic dalam artian ya ngomong politik doang, ngomongno permasalahan indonesia blabla, sok politis padahal ngurusi dirinya sendiri ae belum bener ya gpp kalau kalian peduli dengan negara kalian tapi please lah not lebay :"")",negative
"Harun Masiku Masih Buron, PKS: Penegak Hukum Biasanya Pandai dan Cepat Menangkap Teroris #PKS #PDIP #RepublikMerdeka https://t.co/yTicPbzbIu",positive
"@ustadtengkuzul Bukannya lagi di sidang karena mau nembak orang...🤭  Ya Allah, jangan kabulkan. Itu doa politik...hihihi",netral
"@jek___ Stad, gwee suka boong sma doi, tpi asik ketahuan mulu, kenapa ya? Padahal gwe ada bakat bohong krna gwe kuliah ilmu politik😭 Padahal doi gwee kuliah psikolog, kan jauh hubungannya😭",netral
Gibran Bantah Minta Rekomendasi Megawati Lewat Pintu Belakang https://t.co/f0qsOhNWKl #HUT73Megawati #UltahBuMega  Cc. @Chilli_Pari,netral
Gibran Bantah Minta Rekomendasi Megawati Lewat Pintu Belakang https://t.co/C35nwsuiEI #HUT73Megawati #UltahBuMega  Cc. @Chilli_Pari,netral
"@JackVardan Toleransi masih berjalan baik di negara kita,hanya oknum2 tertentu aja yang ngomporin, yang berawal dari kontetasi politik 8 tahun belakangan..",negative
"Aku pernah kenalan sama cowo, awal perkenalan tuh garing bgt bahkan keseringan convokill. Tp ada satu moment dmn percakapan kami seru saat ngomongin hal politik, yg awalnya saling ngantuk tbtb melek dan berlanjut ampe skrg (bkn tntg politik melulu sih)",netral
"@fullmoonfolks Seumur2 ada pemilu, baru kali ini gue liat KEMANUSIAAN dijadiin komoditas politik. Gak bisa bayangin perasaan beliau2 yg pernah dijanjiin 😭 Anying haseo!!!",netral
#AnakMudaMembangunKota  Cc@Danu Sang Bintang https://t.co/jbNhFrU6a1,netral
@helmifelis Mau komen takut dosa..  Ngatain orang tua.!!!  Makin nambah umur bnyak istirahat..  Jangan ikut2 politik mbah..,netral
"Jika Benar Disetrum, Seharusnya Lutfi Ngadu Ke Propam #RakyatTuntutJKWmundur #LutfiAlfiandi #RepublikMerdeka https://t.co/saHu6kKPxU",netral
Gibran Bantah Minta Rekomendasi Megawati Lewat Pintu Belakang https://t.co/XSFmqGCdrG #HUT73Megawati #UltahBuMega,netral
@PartaiSocmed @jokowi gas terus Tum..  udah parah sih ini.. kebobrokan yg nyata dipertontonkan kepada masyarakat...   bukan lagi masalah tendensi2 politik disini. Bagaimana upaya penegakan hukum dan pemberantasan korupsi kedepan. sgt bergantung hari ini. Sementara semakin seperti ini kondisinya 😵,negative
Buku 'Menjerat Gus Dur' Ungkap Bagaimana Gus Dur Dijatuhkan Oligarki Politik https://t.co/l3rZ3KbJnq,negative
"@dinogorgon Ceritanya dikasih bumbu bumbu, tinggal goreng menggoreng beritanya, paling bahan bakunya politik, agama, ideologi. Yang enak sih itu...",netral
Eeee kotornya mcm politik malaysia pulak,negative
"@hrdbacot @PNS_Ababil Karena berharap bisa diangkat langsung jadi CPNS (padahal secara aturan sudah sulit. FYI PPPK itu belum ada ketentuan teknisnya), memang selalu ada oknum yang ngejanjiin hal tsb dan jadi komoditas politik, kebutuhannya selalu ada, diromantisasi dg ""pengabdian"".",netral
pergejolakan hati menatap nurani yang mati. politik semakin ditakuti. bercinta kini jadi solusi. mengatasi segala carut marut dunia materi. mari wujudkan setiap fantasi. #pijatjogja #pijatpasutri #pijatsensual #pijatwanita #tantejogja #brondongjogja #massagejogja #jogjanakal https://t.co/tEU63WlN99,netral
@Malahay48802284 @TeddyGusnaidi Itulah salah satunya kiamat mau dekat. Semoga kita muslim yang selalu lurus dijalan yang baik sekalipun itu dalam politik. Jangan demi politik mengorbankan Islam lembut ke kafir. Masya Allah ..,positive
Padahal aku ga seneng dunia politik.,netral
