"sentiment","text"
"Positive","Pemerintah Bakal Pangkas Daftar Barang Impor Terlarang"
"Negative","BPJS Kesehatan Tekor Rp 9 T, JK Pertimbangkan Kenaikan Iuran"
"Positive","Jokowi Resmikan Tol Bakauheni di Akhir Pekan"
"Positive","Hadiri KTT APEC, Jokowi Paparkan Resep Anti Ketimpangan"
"Negative","Tak Hanya Pegawai, Jumlah Kantor Bank Juga Berkurang"
"Negative","Ini Kata Bos Mandiri Soal Pelemahan Daya Beli"
"Positive","Sejumlah Menteri Kumpul di Senayan Bahas Ekonomi Digital"
"Negative","Elpiji 3 Kg Langka, Ini Kata Arcandra Tahar"
"Negative","Nasib Ekonomi RI di Tengah Ingatan Krisis 1998"
"Positive","Yuk, Siapkan Dana Pendidikan Anak Sejak Dini"
"Positive","Tutup Lotus dan Debenhams, Laba Mitra Adiperkasa Naik 112%"
"Positive","Ini Penampakan Monorel Canggih Buatan Madiun"
"Negative","BUMN Lagi Suka Sekuritisasi Aset, Apa Sih Maksudnya Itu?"
"Positive","KSEI Blokir Saham MNC yang Diduga Digelapkan"
"Negative","Waskita Masih Hitung Kerugian Akibat Kepala Tiang Ambruk"
"Negative","Susi Ungkap Ngerinya Kerugian Negara karena Cantrang"
"Negative","Perusahaan Ini Paling Banyak Pecat Karyawan"
"Positive","BEI akan Bikin Perusahaan Pembiayaan Efek"
"Positive","Mau Kurangi Utang, Saham BUMI Melesat 10%"
"Negative","Imlek Tahun Ini Bakal Tanpa Jeruk Mandarin?"
"Positive","Infrastruktur Buka Jalan Investasi Masuk RI"
"Positive","Pemilik Maskapai Bikini Masuk Daftar Wanita Terkaya Dunia"
"Negative","BKPM: Porsi Investasi di Luar Jawa Turun"
"Positive","IHSG Dibuka Menguat ke 6.455"
"Positive","Siapkan Biaya Sekolah, Tabungan Biasa atau Tabungan Rencana?"
"Positive","Cegah Gedung Ambruk Terulang, Ini Saran Insinyur"
"Positive","Jajaran Orang Kaya di Balik Klub Sepakbola Inggris"
"Positive","Saran KEIN untuk Ciptakan Ekonomi yang Berkeadilan"
"Positive","Niger Tertarik Gandeng WIKA Bangun Perumahan, Ini Alasannya"
"Positive","Pekerja LRT Jakarta Masih Beraktivitas, Bos Jakpro: Mereka Pasang Rel"
"Positive","Berkat BUMI, Saham-saham Zombie Bakrie Mulai Bangkit"
"Positive","Dampak Brexit, Darmin: Pasar Saham Cepat Pulih"
"Negative","Ini Profil Si Penggugat LPS Terkait Penjualan Bank Mutiara"
"Positive","Indonesia Mau Ekspor Beras Premium Ke Malaysia"
"Positive","Dana Asing Masuk RI Capai Rp 130 Triliun Hingga Oktober"
"Positive","Perjalanan Mobil Murah Indonesia di 2013"
"Positive","PLN Sekuritisasi Aset Anak Usaha Rp 4 Triliun"
"Negative","Masyarakat Kurangi Belanja, Pemerintah Harus Waspada"
"Negative","PPI Batal Impor 500.000 Ton Beras"
"Positive","Sensasi Mudik Lebaran dengan Kereta Mewah"
"Positive","Ramalan Baru IMF Soal Ekonomi Dunia"
"Negative","Ini Proyek-proyek Raksasa Indonesia yang Mangkrak"
"Negative","Curhat Pengusaha: Ekonomi Lesu, Penjualan Sepatu Anjlok 40%"
"Positive","Seberapa Penting Asuransi Rumah untuk Antisipasi Gempa?"
"Positive","Mau Sekuritisasi Aset Rp 4 Triliun, PLN Kebanjiran Permintaan"
"Negative","Kinerja Saham Bakrie 7 Mulai Melempem"
"Negative","Ini Dia Daftar Miliuner Ganteng yang Masih Bujangan"
"Negative","Ini Daftar Perceraian Terheboh dan Termahal Miliuner Dunia"
"Positive","Sampai Kapan Rupiah Bergejolak? Ini Prediksi BI"
"Negative","Pengelolaan Air Masih Jadi Hambatan Pembangunan di RI"
"Negative","Pembangun Pabrik Dibatalkan MA, Saham Semen Indonesia Anjlok"
"Negative","Sampai Kapan Pemerintah Pantau Medsos PNS?"
"Positive","Aneka Pilihan Mudik Mewah"
"Positive","Sentul City Bikin Usaha Patungan Bareng Perusahaan Jepang"
"Negative","Pengusaha Bingung Lihat Ekonomi RI"
"Positive","Luhut: Setelah Jadi, Bandara Kediri Diserahkan ke Pemerintah"
"Positive","Ini Dia 10 Orang Terkaya Dunia 2018"
"Negative","IHSG Melempem ke 5.749 Saat Ekonomi RI Tumbuh 5,01%"
"Negative","Tarif Kereta Bandara Kualanamu Bakal Turun? Ini Kata Menhub"
"Negative","TV Racikannya Dimusnahkan, Kusrin Tutup Usaha dan Rumahkan Karyawan"
"Positive","Ingin Punya Produk yang Laku di Era Digital? Begini Caranya"
"Positive","Menyambung Indonesia, Jokowi Bangun Tol Laut"
"Positive","RI-AS Kumpul Bareng Bahas Industri Penerbangan Papua"
"Negative","Pemerintah Mau Kembangkan Mobil Listrik, Ini Tantangannya"
"Positive","Menhub: 100 Kapal Disiapkan untuk Program Tol Laut"
"Negative","Bulog: Cadangan Beras Pemerintah Minus"
"Negative","Penempatan Dana BPJS TK Masih Didominasi Surat Utang Negara"
"Positive","PTDI Siap Produksi 24 Pesawat N219 Tiap Tahun"
"Positive","Ini Dia Transportasi Masa Depan Jakarta"
"Negative","Proyek Kereta Kencang Jakarta-Surabaya Butuh Rp 70 Triliun"
"Negative","BI: Ekonomi Indonesia Masih Butuh Dana Asing"
"Positive","Rini Angkat Novie Riyanto Jadi Dirut AirNav Indonesia"
"Positive","Jokowi di Mata Sejumlah Media Asing"
"Negative","Keuangan BUMN Mulai Berdarah-darah, Pemerintah Harus Bagaimana?"
"Negative","Ada Tol Laut, Harga Daging Masih Mahal"
"Positive","Mau Sewa dan Kelola Pulau di RI? Ini Syaratnya"
"Positive","Dirjen Bea Cukai Jadi Komisaris Indosat"
"Negative","Ritel Lain Lesu, HERO Masih Untung Rp 71 Miliar"
"Negative","November Ada Inflasi 0,20%"
"Negative","Pulau di RI yang Dijual Online Lenyap, Sudah Laku?"
"Negative","Pengunjung Clarks GI Membludak, Stok Sepatu Berantakan"
"Positive","Pemerintah Percepatan Pencairan Pinjaman Pemda Jadi 40 Hari"
"Positive","6 Proyek Kereta Api di Jabodetabek"
"Positive","Marak Kecelakaan Konstruksi, Jangan Sepelekan Asuransi"
"Positive","Luhut Perintahkan Susi Hentikan Penenggelaman Kapal"
"Negative","Curhatan Pengusaha Otomotif RI: Fasilitas Logistik Kita Kurang Memadai"
"Positive","Alasan Jokowi Pertahankan Airlangga di Kabinet Kerja"
"Positive","Ramayana Tak Gentar Hadapi Serbuan E-Commerce"
"Negative","Darmin Sebut Dampak Brexit ke RI Tak Signifikan"
"Negative","Matahari di Pluit Village Tutup 1 Lantai?"
"Positive","Hanson Internasional Usul Bangun Tol Serpong-Maja"
"Negative","Bakal Ada 30 BUMN Yang Transaksinya Diintip Pajak"
"Positive","Bangun LRT Palembang Rp 11 Triliun, Waskita Untung Berapa?"
"Positive","Kemendag Musnahkan Puluhan Ton Gula dan Daging Kedaluwarsa"
"Positive","Hendi Prio Santoso Jadi Dirut Semen Indonesia"
"Negative","Pengusaha Was-was Jika Dolar Tembus Rp 14.000"
"Positive","KKP Soroti Kerusakan Ekosistem Laut Pantura"
"Positive","Orang Terkaya Afrika Sudah Sumbang Harta Rp 1,3 Triliun"
"Positive","Senjakala Toko Serba Ada"
"Positive","Agustus 2018, Kelapa Gading-Rawamangun Tersambung LRT"
"Negative","50 Toko Ritel Ramai-ramai Tutup, Ada Apa?"
"Negative","Beras Medium Langka, Ini Penjelasan Kementan"
"Negative","Ancaman Jokowi dan Menteri ke Spekulan Beras"
"Positive","Pemerintah akan Evaluasi Dana Otonomi Khusus Papua"
"Positive","Mau Diuji Coba April, Begini Perkembangan Terkini LRT Palembang"
"Positive","IHSG Berusaha Bangkit, Bisakah Bertahan?"
"Positive","PTPP Pastikan Kondisi Keuangan Tak Berdarah-darah"
"Negative","BI Prediksi Inflasi Desember 2017 Capai 0,61%"
"Positive","Memulai Bisnis Pakai Gerobak? Siapa Takut"
"Positive","3 Bank Besar Ini Tawarkan Bunga Deposito Sampai 10-11%"
"Negative","Harga Beras Naik, Bulog Gelar Operasi Pasar"
"Negative","Menhub: Pendaftaran Sopir Taksi Online Disetop Sementara"
"Negative","Ekonomi RI Lesu, Benarkah atau Hanya Khayalan?"
"Positive","Daftar Negara Penimbun Emas Terbanyak, RI Peringkat Berapa?"
"Positive","Keringnya Daya Beli Masyarakat Bawah, Catatan Untuk Jokowi"
"Positive","Lippo Jual Aset Rp 834 Miliar ke DIRE Singapura"
"Positive","Soal Revisi PPh Final UKM, Kemenkeu: Masih Digodok"
"Positive","Maskapai Bikini Mau Buka Bisnis Bandara"
"Negative","Lika-liku Aturan Taksi Online"
"Positive","BI Sebut Pertumbuhan Kredit 2017 Capai 8,1%"
"Positive","Dunia Usaha Diminta Bantu Latih Masyarakat Berwirausaha"
"Negative","Ini 4 Kasus Indonesia dengan WTO"
"Negative","Flyover Pancoran Sudah Dibuka Walau Belum Kantongi Sertifikat"
"Positive","Alur Pendaftaran Online CPNS 2017"
"Positive","Kemenkop: UU Kewirausahaan akan Dorong Penghematan Anggaran"
"Positive","Silangit Ditetapkan Jadi Bandara Internasional"
"Negative","Tol Jakarta-Cikampek Masih Macet, Kok Tarifnya Mau Dinaikkan?"
"Negative","Pantura Cepat Rusak, Truk yang Lewat Sering Kelebihan Muatan"
"Negative","Pasca Longsor, Kereta Bandara Soetta Masih Belum Beroperasi"
"Negative","Mengintip Cara Pelindo II Pangkas Dwell Time"
"Negative","Penipuan Investasi Terbesar Dalam Sejarah (1)"
"Positive","Gudang Garam Minat Bangun Bandara di Kediri"
"Positive","Ini 11 Uang Rupiah Desain Baru"
"Positive","Kepala Bappenas Beberkan Penyebab Kemiskinan RI Turun"
"Positive","Kemarin IHSG Rebound, Bagaimana Prospek Saham PGAS?"
"Positive","Hebat, BUMN Ini Ekspor Kapal Perang Kedua ke Filipina"
"Positive","Pembuatan Kereta LRT Jabodebek Ditargetkan Selesai April 2019"
"Positive","Harga Daging Ayam Tembus Rp 60 Ribu/Ekor"
"Positive","Fakta Unik Seputar Orang Terkaya RI"
"Negative","Mengekor Sevel dan Debenhams, Clarks Indonesia Tutup Toko"
"Negative","Menhub: Pendaftaran Sopir Taksi Online Disetop Sementara"
"Negative","Dana Asing Masuk ke RI Capai Rp 117 Triliun"
"Positive","Matahari Taman Angrek Ramai Seperti Mau Lebaran"
"Positive","Mau Beli Emas Shio Anjing? Begini Caranya"
"Negative","Inflasi Oktober 0,01%, Ini Kata Gubernur BI"
"Positive","Puluhan Pengusaha Kumpul Bahas Kemudahan Berusaha"
"Negative","Bulog: Cadangan Beras Pemerintah Minus"
"Positive","Proyek Elevated Disetop, Basuki: Untuk Hindari Kerugian Negara"
"Positive","Waskita Diminta Bangun Penjara Baru di Kota Bogor"
"Negative","Dirut BPJS Ketenagakerjaan: Jangan Main-main dengan Gratifikasi"
"Positive","Buat yang Mudik, Asuransi Perjalanan Penting"
"Positive","Menperin: Industri Kecil Perlu Manfaatkan Internet Marketing"
"Positive","PTDI Diminta Produksi Pesawat yang Akrab dengan Langit Papua"
"Positive","7 Substansi dalam RUU Perlindungan Pekerja Migran"
"Positive","Dana Darurat Penting, Jaga-jaga Kecelakaan Seperti Setya Novanto"
"Positive","Pembangunan Jalur KA Layang Medan Ditargetkan Selesai November 2018"
"Positive","Sukses Uji Terbang, N219 Langsung Dilirik Turki"
"Positive","Google Sudah Lunasi Tunggakan Pajak 2015"
"Positive","Momen Sri Mulyani Tertawa saat Bertemu Zumi Zola"
"Positive","Jokowi Resmikan Tol Bakauheni di Akhir Pekan"
"Positive","Transaksi Online akan Dipajaki, Pedagang: Belum Tepat Waktunya"
"Negative","Jadi Korban Skimming, Apakah Uang Nasabah Bisa Kembali?"
"Positive","PTPP Kantongi Kontrak Baru Rp 60 Triliun hingga Januari"
"Positive","Penjualan Ponsel Meningkat Dua Kali Lipat Sejak H-3 Lebaran"
"Negative","Wamendag: Kita Impor Dalam Bentuk Tepung, Bukan Singkongnya"
"Negative","KTP Rusak atau Hilang? Bagini Cara Pesan Rusun Nempel Stasiun"
"Negative","Belanja Online Bisa Hantam Produk Dalam Negeri?"
"Negative","Saham Sari Roti Anjlok 1,32%"
"Negative","Bank Pangkas Bunga Deposito Biar Bunga Kredit BisaTurun"
"Positive","Pesawat R80 Habibie Kemungkinan Pakai Dua Mesin Ini"
"Negative","Masih Berani Menjual dan Membeli Bitcoin Cs? Ini Sanksinya"
"Negative","Bunga Deposito Rendah Kok Bunga Kredit Masih Tinggi?"
"Positive","Investor Besar Australia Minati Proyek Infrastruktur RI"
"Negative","BPS: Inflasi Juni 0,69%"
"Negative","Tingkat Kredit Macet Bank J-Trust Masih 12%"
"Positive","Mengintip Perakitan Pesawat Terlaris Airbus"
"Negative","Aneh, Pasokan Lancar Kok Harga Daging Ayam Naik?"
"Negative","Rupiah Melemah, Harga Ponsel Naik"
"Positive","?Lagi Blusukan Proyek DDT, Menhub Masuk Kolong Rel"
"Negative","Kapal Cantrang Boleh Melaut Lagi"
"Positive","Pengusaha Target Ekspor Mebel dan Kerajinan Rp 38 Triliun"
"Negative","Bisakah Rupiah Bertahan di Tengah Gempuran Dolar AS?"
"Negative","Investasi Bodong Terbanyak di Bidang Forex, Kedua di Uang Digital"
"Positive","Ini Dia Mobil-mobil Listrik Buatan Indonesia"
"Negative","Drama Bakrie-Rothschild, Dulu Mesra Kini Bercerai (1)"
