"id","sentiment","text"
72,"Positive","Bunga Deposito Perbankan Makin Rendah"
73,"Positive","175 Kilometer Rel Kereta Baru Dibangun Sepanjang 2017"
74,"Negative","Soal LRT Usulan Ratu Prabu, BPTJ: Rutenya Belum Fixed"
75,"Positive","BPJS Ketenagakerjaan Targetkan 100.000 TKI Jadi Anggota"
76,"Positive","Konstruksi Tol Cisumdawu Capai 29%"
77,"Positive","Jokowi Inginkan Inovasi OJK untuk Bantu Pembangunan Infrastruktur"
78,"Positive","Begini Caranya Agar Mobil Ditanggung Asuransi karena Gempa"
79,"Positive","Strategi Jamkrindo Genjot Kinerja Sepanjang 2017"
80,"Positive","Ini Jurus Agar Rupiah Kembali Perkasa Terhadap Dolar AS"
81,"Positive","Ini Dia Jet Pribadi Super Mewah Termahal di Dunia (1)"
82,"Positive","6 Pasar Rakyat Dapat Sertifikat SNI"
83,"Positive","Proyek Pengembangan Bandara Nabire Rampung Akhir 2019"
84,"Positive","Pemerintah Impor Beras, Sandi: Pemprov DKI Ingin Dilibatkan"
85,"Positive","Sekarang Buruh Bangunan Hingga Tukang Bakso Bisa Nikmati Pensiun"
86,"Positive","Dampak Brexit, Darmin: Pasar Saham Cepat Pulih"
87,"Positive","Siap-siap, Toko Online Harus Terdaftar di Kemendag"
88,"Negative","Curah Hujan Tinggi, Produksi Garam Lokal Terganggu"
89,"Positive","Harga Daging Ayam Tembus Rp 60 Ribu/Ekor"
90,"Negative","Bunga Deposito Rendah Kok Bunga Kredit Masih Tinggi?"
91,"Positive","Buka Perdagangan Saham, Mochtar Riady Bicara Pentingnya e-Commerce"
92,"Positive","Silangit Jadi Bandara Internasional Dua Minggu Lagi"
93,"Positive","Pedagang Pasar: Stok Aman Meski Ada Banjir"
94,"Positive","Jokowi Ingatkan Para Menteri Soal Efisiensi Anggaran"
95,"Positive","Kinerja Saham Bakrie 7 Mulai Melempem"
96,"Negative","Program Sejuta Rumah Tak Capai Target, Ini Sebabnya"
97,"Positive","Daftar CPNS Kemensos? Ini Daftar Hasil Seleksinya"
98,"Positive","Bitcoin Sempat Tembus Rp 148,5 juta Dalam Hitungan Jam"
99,"Positive","Kembangkan Startup, Sandi Luncurkan OK OCE Technology"
100,"Positive","Begini Kondisi Produksi Ikan Tuna di RI"
101,"Positive","Ingin Rasakan Mudik dengan Kereta Mewah? Ini Rutenya"
102,"Negative","Kenapa Harga Daging Ayam Belum Turun Juga?"
103,"Positive","Rini Rombak Jajaran Direksi PLN"
104,"Positive","Marak Kecelakaan Kerja, Menhub Minta Jangan Asal Pilih Konsultan"
105,"Positive","The Fed Mau Bikin Mata Uang Virtual Pesaing Bitcoin Cs"
106,"Negative","Cadangan Devisa RI Februari Turun Jadi US$ 128 Miliar"
107,"Negative","Dilema Fresh Graduate, Lamaran Ditolak Karena Belum Pengalaman"
108,"Negative","Tukang Goreng Saham, Bandar atau Bandit?"
109,"Negative","Rupiah Anjlok 1,5%: Agus Marto: Kita Jangan Khawatir"
110,"Positive","Naik Lagi, Cadangan Devisa RI Kini US$ 131 Miliar"
111,"Positive","Aksi Susi Tenggelamkan Kapal Terancam Dihentikan"
112,"Negative","Ancaman Jokowi dan Menteri ke Spekulan Beras"
113,"Positive","Menhub Tegaskan KAI Tetap Jadi Investor LRT Jabodebek"
114,"Positive","RI akan Cabut Crumb Rubber dari Daftar Negatif Investasi"
115,"Positive","Venezuela Terbitkan Mata Uang Digital Baru Saat Krisis"
116,"Positive","Mulai April, Taksi Online 'Nakal' Bakal Ditilang"
117,"Positive","Serba-serbi Orang Terkaya Sejagat Raya"
118,"Positive","Jurus PT KAI Melajukan Perubahan Perkeretaapian"
119,"Negative","Ini Sederet Insiden di Gedung BEI"
120,"Positive","Yuk Intip Deretan SPG Cantik di Pameran BUMN"
121,"Positive","Sempat Demo, Buruh Pelabuhan Tarakan Akhinya Terima Upah"
122,"Negative","Tekstil RI Lesu, Pengusaha: Harga Kapas Selalu Jadi Permainan"
123,"Negative","Jokowi Akui Investasi Masih Terganjal Aturan Sendiri"
124,"Positive","Ini Daftar 10 Orang Terkaya di Indonesia"
125,"Positive","Strategi Bisnis Ramayana Supaya Tetap Eksis"
126,"Positive","Menhub Minta Perusahaan Penerbangan Rekrut Pilot Nganggur"
127,"Positive","Ada Tol Serang-Panimbang, ke Ujung Kulon Bisa Lebih Mudah"
128,"Negative","Taksi Online 'Nakal' Belum Ditindak, Ini Kata Organda"
129,"Negative","Pedagang Kena Biaya Debit, Apa Bakal Dibebankan ke Pembeli?"
130,"Positive","Beli ORI Kini Semudah Beli Saham, Apa Saja Untungnya?"
131,"Negative","LRT Jabodetabek Batal Groundbreaking, Jokowi Pun Turun Tangan"
132,"Positive","Tripartit Tetapkan 9 Agenda Kerja Ketenagakerjaan 2018"
133,"Positive","IHSG Melesat 1% ke 6.500"
134,"Positive","Waskita Mau Jual Tol, Astra Minat Beli"
135,"Positive","Ternyata Indonesia Punya Banyak Terowongan Kereta Lho, Ini Daftarnya"
136,"Negative","Tingkat Kredit Macet Bank J-Trust Masih 12%"
137,"Positive","Dicurhati Pengusaha Remaja, Jokowi: Saya akan Beri Modal"
138,"Positive","Mahasiswa RI di Timteng Kaji 3 Negara untuk Ekonomi Syariah"
139,"Positive","Tol Medan-Kualanamu-Tebing Tinggi Tersambung Belmera April 2018"
140,"Positive","Stasiun Kereta Bandara, Sudirman Baru atau BNI City?"
141,"Negative","Jangan Mudah Percaya Investasi, Cari Tahu Dulu ke OJK"
142,"Positive","Transaksi 'Jaman Now' Bye-bye Tunai"
143,"Positive","Mudik Makin Berkelas Pakai Jet Pribadi"
144,"Positive","Pemerintah Telusuri Penjual Pulau Indonesia di Situs Online"
145,"Positive","Komisaris Baru BNI, dari Mantan Menteri Hingga Politisi PDIP"
146,"Negative","Ini 4 Kasus Indonesia dengan WTO"
147,"Negative","Pegawai Tak Tahu Debenhams Tutup Akhir Tahun Ini"
148,"Negative","Beras Medium Langka, Ini Penjelasan Kementan"
149,"Negative","Subsidi dan Utang Membengkak, Pemerintah Harus Hati-hati"
150,"Positive","Mendag Sebut Hubungannya dengan Mentan Tak Perlu Dikhawatirkan"
151,"Positive","Menteri PPN Ajak ISEI Bangun Ekonomi RI"
152,"Negative","Gula Disegel Kemendag Berwarna Coklat, PTPN: Kelamaan Disimpan"
153,"Positive","Kota Tujuan Belanja Terbaik di Dunia (1)"
154,"Positive","BEI Ingin Emiten RI Bisa Jual Saham di Thailand"
155,"Positive","Menperin Terus Rayu Foxconn Buat Pabrik di RI"
156,"Negative","Sri Mulyani Tawarkan Sukri Dengan Imbal Hasil 6,9%"
157,"Negative","Gubernur BI: Ekonomi Kuartal II-2017 Sedikit Lemah"
158,"Negative","Lika-liku Aturan Taksi Online"
159,"Positive","DPR Sepakati Aturan Pajak Intip Rekening Jadi UU"
160,"Negative","HP PHK 4.000 Karyawan di Seluruh Dunia"
161,"Negative","Ini Dia Daftar Miliuner Ganteng yang Masih Bujangan"
162,"Negative","Ini Para Pemberi Utang Terbesar Buat RI"
163,"Negative","""Ayah Hati-hati Bekerja, Bunda Tidak Ingin Jadi Janda"""
164,"Positive","Kereta Pangrango Sementara Beroperasi Sukabumi-Cigombong"
165,"Negative","Penjualan Mie Instant Hingga Susu Bubuk Turun"
166,"Negative","Dampak Kebijakan Trump, RI Bisa Dibanjiri Baja Asal China"
167,"Positive","Jokowi Bakal Operasikan 25 Ruas Tol di 2018, Ini Daftarnya"
168,"Negative","Harga Jual Emas Antam Turun Rp 1.000"
169,"Negative","Mengenal BUMN Survei Pemetaan yang 'Berdarah-darah'"
170,"Negative","Membandingkan Penerimaan Negara dari Freeport dan Cukai Rokok"
171,"Positive","Kota Tujuan Belanja Terbaik di Dunia (2)"
172,"Negative","Lippo Karawaci Raup Laba Rp 143 M, Turun 54%"
173,"Positive","Aksi Susi Tenggelamkan Kapal Terancam Dihentikan"
174,"Positive","Kembangkan Startup, Sandi Luncurkan OK OCE Technology"
175,"Positive","Kakek 95 Tahun Ini Masuk Daftar Orang Terkaya Filipina"
176,"Positive","Ini Dia Mobil-mobil Listrik Buatan Indonesia"
177,"Positive","Laba Bank Mandiri Melonjak 49% Jadi Rp 20 Triliun"
178,"Positive","Emas Antam Dijual Rp 640.000/Gram"
179,"Negative","Terus Turun, Emas Antam Dijual Rp 630 Ribu/Gram"
180,"Positive","BI Sebut Investasi Berorientasi Ekspor Bisa Tekan Rasio Utang"
181,"Positive","Kondisi Yunani, Prancis Hingga Jerman Masuk Radar Pantauan BI"
182,"Positive","Gempa Goyang Jakarta, PUPR: Belum Ada Laporan Infrastruktur Rusak"
183,"Positive","Jokowi Diharapkan Resmikan Pusat Perikanan Natuna April"
184,"Positive","Seberapa Kuat Bangunan di Jakarta Tahan Diguncang Gempa?"
185,"Positive","Yuk, Mencoba Monorel di Beberapa Negara Tetangga Ini"
186,"Negative","Harga Pertamax CS Naik, BI: Ada Risiko Inflasi"
187,"Negative","Ingin Pensiun 5 Tahun Lagi? Yuk, Atur Keuangannya"
188,"Positive","Stok Pupuk Dipastikan Aman Jelang Musim Tanam"
189,"Negative","Investasi Bodong Masih Merajalela, Ini Daftarnya"
190,"Positive","Ini Wejangan yang Paling Diingat Anak Sukamdani Sahid"
191,"Negative","Penjualan Mobil Sedan Sepanjang 2017 Paling Anjlok, Ini Penyebabnya"
192,"Positive","Jaga-jaga Kecelakaan, Berapa Besar Dana Darurat yang Dibutuhkan?"
193,"Negative","Digosipkan Mau Dicaplok BCA, Ini Jawaban Bank Harda"
194,"Negative","Erick Thohir Mundur dari VIVA Mulai 19 Januari 2017"
195,"Negative","Ini Daftar Perceraian Terheboh dan Termahal Miliuner Dunia"
196,"Positive","Pemerintah Bakal Pangkas Daftar Barang Impor Terlarang"
197,"Negative","BPJS Kesehatan Tekor Rp 9 T, JK Pertimbangkan Kenaikan Iuran"
198,"Positive","Jokowi Resmikan Tol Bakauheni di Akhir Pekan"
199,"Positive","Hadiri KTT APEC, Jokowi Paparkan Resep Anti Ketimpangan"
200,"Negative","Tak Hanya Pegawai, Jumlah Kantor Bank Juga Berkurang"
201,"Negative","Ini Kata Bos Mandiri Soal Pelemahan Daya Beli"
202,"Positive","Sejumlah Menteri Kumpul di Senayan Bahas Ekonomi Digital"
203,"Negative","Elpiji 3 Kg Langka, Ini Kata Arcandra Tahar"
204,"Negative","Nasib Ekonomi RI di Tengah Ingatan Krisis 1998"
205,"Positive","Yuk, Siapkan Dana Pendidikan Anak Sejak Dini"
206,"Positive","Tutup Lotus dan Debenhams, Laba Mitra Adiperkasa Naik 112%"
207,"Positive","Ini Penampakan Monorel Canggih Buatan Madiun"
208,"Negative","BUMN Lagi Suka Sekuritisasi Aset, Apa Sih Maksudnya Itu?"
209,"Positive","KSEI Blokir Saham MNC yang Diduga Digelapkan"
210,"Negative","Waskita Masih Hitung Kerugian Akibat Kepala Tiang Ambruk"
211,"Negative","Susi Ungkap Ngerinya Kerugian Negara karena Cantrang"
212,"Negative","Perusahaan Ini Paling Banyak Pecat Karyawan"
213,"Positive","BEI akan Bikin Perusahaan Pembiayaan Efek"
214,"Positive","Mau Kurangi Utang, Saham BUMI Melesat 10%"
215,"Negative","Imlek Tahun Ini Bakal Tanpa Jeruk Mandarin?"
216,"Positive","Infrastruktur Buka Jalan Investasi Masuk RI"
217,"Positive","Pemilik 'Maskapai Bikini' Masuk Daftar Wanita Terkaya Dunia"
218,"Negative","BKPM: Porsi Investasi di Luar Jawa Turun"
219,"Positive","IHSG Dibuka Menguat ke 6.455"
220,"Positive","Siapkan Biaya Sekolah, Tabungan Biasa atau Tabungan Rencana?"
221,"Positive","Cegah Gedung Ambruk Terulang, Ini Saran Insinyur"
222,"Positive","Jajaran Orang Kaya di Balik Klub Sepakbola Inggris"
223,"Positive","Saran KEIN untuk Ciptakan Ekonomi yang Berkeadilan"
224,"Positive","Niger Tertarik Gandeng WIKA Bangun Perumahan, Ini Alasannya"
225,"Positive","Pekerja LRT Jakarta Masih Beraktivitas, Bos Jakpro: Mereka Pasang Rel"
226,"Positive","Berkat BUMI, Saham-saham 'Zombie' Bakrie Mulai Bangkit"
227,"Positive","Dampak Brexit, Darmin: Pasar Saham Cepat Pulih"
228,"Negative","Ini Profil Si Penggugat LPS Terkait Penjualan Bank Mutiara"
229,"Positive","Indonesia Mau Ekspor Beras Premium Ke Malaysia"
230,"Positive","Dana Asing Masuk RI Capai Rp 130 Triliun Hingga Oktober"
231,"Positive","Perjalanan Mobil Murah Indonesia di 2013"
232,"Positive","PLN Sekuritisasi Aset Anak Usaha Rp 4 Triliun"
233,"Negative","Masyarakat Kurangi Belanja, Pemerintah Harus Waspada"
234,"Negative","PPI Batal Impor 500.000 Ton Beras"
235,"Positive","Sensasi Mudik Lebaran dengan Kereta Mewah"
236,"Positive","Ramalan Baru IMF Soal Ekonomi Dunia"
237,"Negative","Ini Proyek-proyek Raksasa Indonesia yang Mangkrak"
238,"Negative","Curhat Pengusaha: Ekonomi Lesu, Penjualan Sepatu Anjlok 40%"
239,"Positive","Seberapa Penting Asuransi Rumah untuk Antisipasi Gempa?"
240,"Positive","Mau Sekuritisasi Aset Rp 4 Triliun, PLN Kebanjiran Permintaan"
241,"Negative","Kinerja Saham Bakrie 7 Mulai Melempem"
242,"Negative","Ini Dia Daftar Miliuner Ganteng yang Masih Bujangan"
243,"Negative","Ini Daftar Perceraian Terheboh dan Termahal Miliuner Dunia"
244,"Positive","Sampai Kapan Rupiah Bergejolak? Ini Prediksi BI"
245,"Negative","Pengelolaan Air Masih Jadi Hambatan Pembangunan di RI"
246,"Negative","Pembangun Pabrik Dibatalkan MA, Saham Semen Indonesia Anjlok"
247,"Negative","Sampai Kapan Pemerintah Pantau Medsos PNS?"
248,"Positive","Aneka Pilihan Mudik Mewah"
249,"Positive","Sentul City Bikin Usaha Patungan Bareng Perusahaan Jepang"
250,"Negative","Pengusaha Bingung Lihat Ekonomi RI"
251,"Positive","Luhut: Setelah Jadi, Bandara Kediri Diserahkan ke Pemerintah"
252,"Positive","Ini Dia 10 Orang Terkaya Dunia 2018"
253,"Negative","IHSG Melempem ke 5.749 Saat Ekonomi RI Tumbuh 5,01%"
254,"Negative","Tarif Kereta Bandara Kualanamu Bakal Turun? Ini Kata Menhub"
255,"Negative","TV Racikannya Dimusnahkan, Kusrin Tutup Usaha dan Rumahkan Karyawan"
256,"Positive","Ingin Punya Produk yang Laku di Era Digital? Begini Caranya"
257,"Positive","Menyambung Indonesia, Jokowi Bangun Tol Laut"
258,"Positive","RI-AS Kumpul Bareng Bahas Industri Penerbangan Papua"
259,"Negative","Pemerintah Mau Kembangkan Mobil Listrik, Ini Tantangannya"
260,"Positive","Menhub: 100 Kapal Disiapkan untuk Program Tol Laut"
261,"Negative","Bulog: Cadangan Beras Pemerintah Minus"
262,"Negative","Penempatan Dana BPJS TK Masih Didominasi Surat Utang Negara"
263,"Positive","PTDI Siap Produksi 24 Pesawat N219 Tiap Tahun"
264,"Positive","Ini Dia Transportasi Masa Depan Jakarta"
265,"Negative","Proyek Kereta Kencang Jakarta-Surabaya Butuh Rp 70 Triliun"
266,"Negative","BI: Ekonomi Indonesia Masih Butuh Dana Asing"
267,"Positive","Rini Angkat Novie Riyanto Jadi Dirut AirNav Indonesia"
268,"Positive","Jokowi di Mata Sejumlah Media Asing"
269,"Negative","Keuangan BUMN Mulai 'Berdarah-darah', Pemerintah Harus Bagaimana?"
270,"Negative","Ada Tol Laut, Harga Daging Masih Mahal"
271,"Positive","Mau Sewa dan Kelola Pulau di RI? Ini Syaratnya"
272,"Positive","Dirjen Bea Cukai Jadi Komisaris Indosat"
273,"Negative","Ritel Lain Lesu, HERO Masih Untung Rp 71 Miliar"
274,"Negative","November Ada Inflasi 0,20%"
275,"Negative","Pulau di RI yang Dijual Online 'Lenyap', Sudah Laku?"
276,"Negative","Pengunjung Clarks GI Membludak, Stok Sepatu Berantakan"
277,"Positive","Pemerintah Percepatan Pencairan Pinjaman Pemda Jadi 40 Hari"
278,"Positive","6 Proyek Kereta Api di Jabodetabek"
279,"Positive","Marak Kecelakaan Konstruksi, Jangan Sepelekan Asuransi"
280,"Positive","Luhut Perintahkan Susi Hentikan Penenggelaman Kapal"
281,"Negative","Curhatan Pengusaha Otomotif RI: Fasilitas Logistik Kita Kurang Memadai"
282,"Positive","Alasan Jokowi Pertahankan Airlangga di Kabinet Kerja"
283,"Positive","Ramayana Tak Gentar Hadapi Serbuan E-Commerce"
284,"Negative","Darmin Sebut Dampak Brexit ke RI Tak Signifikan"
285,"Negative","Matahari di Pluit Village Tutup 1 Lantai?"
286,"Positive","Hanson Internasional Usul Bangun Tol Serpong-Maja"
287,"Negative","Bakal Ada 30 BUMN Yang Transaksinya Diintip Pajak"
288,"Positive","Bangun LRT Palembang Rp 11 Triliun, Waskita Untung Berapa?"
289,"Positive","Kemendag Musnahkan Puluhan Ton Gula dan Daging Kedaluwarsa"
290,"Positive","Hendi Prio Santoso Jadi Dirut Semen Indonesia"
291,"Negative","Pengusaha Was-was Jika Dolar Tembus Rp 14.000"
292,"Positive","KKP Soroti Kerusakan Ekosistem Laut Pantura"
293,"Positive","Orang Terkaya Afrika Sudah Sumbang Harta Rp 1,3 Triliun"
294,"Positive","Senjakala Toko Serba Ada"
295,"Positive","Agustus 2018, Kelapa Gading-Rawamangun Tersambung LRT"
296,"Negative","50 Toko Ritel Ramai-ramai Tutup, Ada Apa?"
297,"Negative","Beras Medium Langka, Ini Penjelasan Kementan"
298,"Negative","Ancaman Jokowi dan Menteri ke Spekulan Beras"
299,"Positive","Pemerintah akan Evaluasi Dana Otonomi Khusus Papua"
300,"Positive","Mau Diuji Coba April, Begini Perkembangan Terkini LRT Palembang"
301,"Positive","IHSG Berusaha Bangkit, Bisakah Bertahan?"
302,"Positive","PTPP Pastikan Kondisi Keuangan Tak Berdarah-darah"
303,"Negative","BI Prediksi Inflasi Desember 2017 Capai 0,61%"
304,"Positive","Memulai Bisnis Pakai Gerobak? Siapa Takut"
305,"Positive","3 Bank Besar Ini Tawarkan Bunga Deposito Sampai 10-11%"
306,"Negative","Harga Beras Naik, Bulog Gelar Operasi Pasar"
307,"Negative","Menhub: Pendaftaran Sopir Taksi Online Disetop Sementara"
308,"Negative","Ekonomi RI Lesu, Benarkah atau Hanya Khayalan?"
309,"Positive","Daftar Negara Penimbun Emas Terbanyak, RI Peringkat Berapa?"
310,"Positive","Keringnya Daya Beli Masyarakat Bawah, Catatan Untuk Jokowi"
311,"Positive","Lippo Jual Aset Rp 834 Miliar ke DIRE Singapura"
312,"Positive","Soal Revisi PPh Final UKM, Kemenkeu: Masih Digodok"
313,"Positive","'Maskapai Bikini' Mau Buka Bisnis Bandara"
314,"Negative","Lika-liku Aturan Taksi Online"
315,"Positive","BI Sebut Pertumbuhan Kredit 2017 Capai 8,1%"
316,"Positive","Dunia Usaha Diminta Bantu Latih Masyarakat Berwirausaha"
317,"Negative","Ini 4 Kasus Indonesia dengan WTO"
318,"Negative","Flyover Pancoran Sudah Dibuka Walau Belum Kantongi Sertifikat"
319,"Positive","Alur Pendaftaran Online CPNS 2017"
320,"Positive","Kemenkop: UU Kewirausahaan akan Dorong Penghematan Anggaran"
321,"Positive","Silangit Ditetapkan Jadi Bandara Internasional"
322,"Negative","Tol Jakarta-Cikampek Masih Macet, Kok Tarifnya Mau Dinaikkan?"
323,"Negative","Pantura Cepat Rusak, Truk yang Lewat Sering Kelebihan Muatan"
324,"Negative","Pasca Longsor, Kereta Bandara Soetta Masih Belum Beroperasi"
325,"Negative","Mengintip Cara Pelindo II Pangkas Dwell Time"
326,"Negative","Penipuan Investasi Terbesar Dalam Sejarah (1)"
327,"Positive","Gudang Garam Minat Bangun Bandara di Kediri"
328,"Positive","Ini 11 Uang Rupiah Desain Baru"
329,"Positive","Kepala Bappenas Beberkan Penyebab Kemiskinan RI Turun"
330,"Positive","Kemarin IHSG Rebound, Bagaimana Prospek Saham PGAS?"
331,"Positive","Hebat, BUMN Ini Ekspor Kapal Perang Kedua ke Filipina"
332,"Positive","Pembuatan Kereta LRT Jabodebek Ditargetkan Selesai April 2019"
333,"Positive","Harga Daging Ayam Tembus Rp 60 Ribu/Ekor"
334,"Positive","Fakta Unik Seputar Orang Terkaya RI"
335,"Negative","Mengekor Sevel dan Debenhams, Clarks Indonesia Tutup Toko"
336,"Negative","Menhub: Pendaftaran Sopir Taksi Online Disetop Sementara"
337,"Negative","Dana Asing Masuk ke RI Capai Rp 117 Triliun"
338,"Positive","Matahari Taman Angrek Ramai Seperti Mau Lebaran"
339,"Positive","Mau Beli Emas Shio Anjing? Begini Caranya"
340,"Negative","Inflasi Oktober 0,01%, Ini Kata Gubernur BI"
341,"Positive","Puluhan Pengusaha Kumpul Bahas Kemudahan Berusaha"
342,"Negative","Bulog: Cadangan Beras Pemerintah Minus"
343,"Positive","Proyek Elevated Disetop, Basuki: Untuk Hindari Kerugian Negara"
344,"Positive","Waskita Diminta Bangun Penjara Baru di Kota Bogor"
345,"Negative","Dirut BPJS Ketenagakerjaan: Jangan Main-main dengan Gratifikasi"
346,"Positive","Buat yang Mudik, Asuransi Perjalanan Penting"
347,"Positive","Menperin: Industri Kecil Perlu Manfaatkan Internet Marketing"
348,"Positive","PTDI Diminta Produksi Pesawat yang Akrab dengan Langit Papua"
349,"Positive","7 Substansi dalam RUU Perlindungan Pekerja Migran"
350,"Positive","Dana Darurat Penting, Jaga-jaga Kecelakaan Seperti Setya Novanto"
351,"Positive","Pembangunan Jalur KA Layang Medan Ditargetkan Selesai November 2018"
352,"Positive","Sukses Uji Terbang, N219 Langsung Dilirik Turki"
353,"Positive","Google Sudah Lunasi Tunggakan Pajak 2015"
354,"Positive","Momen Sri Mulyani Tertawa saat Bertemu Zumi Zola"
355,"Positive","Jokowi Resmikan Tol Bakauheni di Akhir Pekan"
356,"Positive","Transaksi Online akan Dipajaki, Pedagang: Belum Tepat Waktunya"
357,"Negative","Jadi Korban Skimming, Apakah Uang Nasabah Bisa Kembali?"
358,"Positive","PTPP Kantongi Kontrak Baru Rp 60 Triliun hingga Januari"
359,"Positive","Penjualan Ponsel Meningkat Dua Kali Lipat Sejak H-3 Lebaran"
