No,Label,Kalimat
21,Positive,Kanwil DJP Jabar I Gelar Sosialisasi Amnesti Pajak Pada Kejaksaan
22,Positive,Pembangunan Infrastruktur Percepat Pembangunan Nasional
23,Positive,Boelongan yang Penuh Pesona
24,Positive,Jokowi Perintahkan Menteri Darmin Nasution Tingkatkan Kemudahan Berusaha
25,Negative,Jokowi Tolak Turunkan Target Kemudahan Berusaha
26,Negative,Ini Kata Bos Mandiri Soal Pelemahan Daya Beli
26,Positive,Jokowi: Kompetisi Dorong BUMN Jadi Lebih Baik
27,Positive,Oesman Sapta: Senior Hipmi akan Berkontribusi pada Pemerintah
28,Positive,Surya Paloh: NasDem Bertanggung Jawab atas Keberhasilan Pemerintah
29,Neutral,aksi unjuk rasa / mimbar bebas dari Gerakan Kembali ke Pancasila dan UUD 1945 Asli di Pelataran Taman Ismail Marzuki
30,Positive,Muhammadiyah Dorong Kemenkes Beri Gambaran Langkah Kerjanya untuk Bersinergi
31,Positive,Poldasu Gelar Rakor Penyidik Polri Dalam Penanganan Tipidkor
32,Positive,Pemerintah Harus Segera Kirimkan Draf Revisi UU Pemilu
33,Neutral, Demi Aceh Damai Sempat Berbeda Pendapat
34,Positive,Presiden Jokowi Minta agar DPR tak Terlalu Banyak Buat Undang?Undang Ini Alasannya
35,Negative,Panitia Kunjungan Jokowi ke Danau Toba Dituntut Minta Maaf
36,Positive,Jalankan Instruksi Presiden Menteri Susi Konsolidasi Dengan BUMN
37,Positive,Laksdya TNI Arie Soedewo : Indonesia Mewaspadai Perkembangan di Laut Cina Selatan
38,Positive,Indonesia Gemilang di Hari Pertama Kejuaraan Dunia Karate
39,Positive,Ahok: Surat Peringatan 1 Penertiban untuk Bukit Duri Terbit Pekan Depan
40,Negative,Perusahaan Ini Paling Banyak Pecat Karyawan
41,Negative,Rencanakan Serangan Teror Pemuda Australia Divonis 10 Tahun Penjara
41,Negative,BNPT: Penyebaran Terorisme Bergeser ke Kalangan Intelektual Ada Peran Medsos
42,Negative,Doktrin Pelaku Bom Bunuh Diri Adalah Surga dan Bidadari : Okezone News
43,Negative,Pelaku Bom Bunuh Diri Medan Diyakini Bergabung dengan Teroris Internasional : Okezone News
44,Neutral,Pengacara Pertanyakan Pasal Pembunuhan untuk Tersangka Teror Bom Medan : Okezone News
45,Negative,Mantan Napi Teroris: Medan Sudah Jadi Kantong Jihadis | Republika Online
46,Neutral,BEM UI Nilai Pemprov DKI Putar Balikkan Fakta Terkait Reklamasi Teluk Jakarta - Kompas.com
47,Neutral,Dirut Agung Podomoro Land Sambangi Balai Kota DKI - Kompas.com
48,Negative,Reklamasi Pulau G Terganjal Sejumlah Syarat | tempo.co
49,Negative,Tolak Reklamasi Teluk Jakarta Mahasiswa dan Warga Gelar Demonstrasi
50,Neutral,Kontroversi Isu Panas Arcandra Jadi Menteri Lagi
51,Neutral,Border Protection Australia Telan Dana Rp 100 Triliun Selama 3 Tahun
52,Neutral,Yuk Berkenalan dengan Reksa Dana
53,Positive,Ahok Minta DPR Masukkan Pasal Pembuktian Terbalik pada UU Pilkada - Kompas.com
54,Positive,Kepala Dinas Pariwisata Larang Pelaku Usaha Berikan Imbalan ke Petugas - Kompas.com
55,Nautral,Jokowi Yakin Upaya Penjegalan Tax Amnesty Bukan Politisasi - Kompas.com
56,Neutral,Jokowi Yakin Upaya Penjegalan Tax Amnesty Bukan Politisasi 
57,Positive,Khotbah Idul Adha Masjid Istiqlal Soroti Terorisme dan Narkoba
58,Positive,Cegah Pelaku Teror dari Kalangan Anak BNPT Gandeng 17 Kementerian
59,Neutral,Penjelasan BNPT Soal Asal Aliran Dana Teroris ke Indonesia yang Diungkap PPATK
60,Neutral,Mereka yang Hadir dalam Peringatan 15 Tahun Tragedi 9/11
61,Positive,Antisipasi Teror Saat Idul Adha Polda Jatim Siagakan 8.215 Personel
62,Neutral,Kode Etik
63,Positive,NU Minta Isu SARA di Pilkada DKI Jakarta Distop
64,Neutral,Ogah Ikut Usung Sandiaga-Mardani PPP: Kami Tak Diajak Bicara
65,Positive,Jadi Cawagub Sandiaga Mardani Imbau Kader PKS Tak Pakai Isu SARA Lawan Ahok
66,Positive,Sambil Menangis Orangtua Pelaku Teror Bom di Medan Meminta Maaf - Kompas.com
67,Positive,LGBT Bisa Berubah Jadi Hetero? YPS: Dengan Kesabaran Bukan Paksaan
68,Positive,LGBT Bisa Berubah Jadi Hetero? YPS: Dengan Kesabaran Bukan Paksaan
69,Positive,Menhan Sebut Bela Negara Modal Sosial Antisipasi Terorisme dan Radikalisme
70,Positive,Menhan Gantikan Jokowi Pimpin Apel Nasional Bela Negara : Okezone News
71,Neutral,Menhan Gelar Rakor Bela Negara Bersama Rektor dan Gubernur Daerah
72,Neutral,Jelang Deadline Pembayaran Tebusan Pemerintah Terus Komunikasi dengan Filipina : Okezone News
73,Neutral,Kabareskrim Temui Menteri Keamanan Publik Vietnam Bahas Kejahatan Perairan
74,Neutral,Duterte ke Indonesia Menteri Retno Yakin Akan Bahas Sandera | Tempo Nasional
75,Negative,Sengketa Air Sungai di India Sebabkan Satu Warga Tewas
76,Neutral,Ikuti Protes di Perbatasan Pemuda Gaza Ditembak Mati Tentara Israel 
77,Negative,Kapolri: Kasus Meranti adalah Pelajaran Pahit - Kompas.com
78,Negative,Dua Pengedar Ganja di Kalangan Pelajar Diringkus
79,Negative,FOKUS: Anak Indonesia dalam Cengkraman Predator Seksual 
80,Negative,Kecelakaan Maut di Australia Kereta Tabrak Mobil Tewaskan Dua Orang : Okezone News
81,Negative,Dua Kecelakaan Beruntun Warnai Dini Hari Ibu Kota : Okezone News
82,Negative,Identitas Muslim Perempuan yang Dibakar di Amerika Serikat : Okezone News
83,Negative,Kibarkan Bendera Bertuliskan China Wisatawan Diamankan : Okezone News
84,Positive,Cegah Bentrok 336 Polisi Kawal Sidang Kasus Mutilasi : Okezone News
85,Negative,Petugas Dishub Dikeroyok Saat Akan Tertibkan Bus di Terminal Pulogadung - Kompas.com
86,Positive,Diterjang Topan Meranti Taiwan Evakuasi Ribuan Penduduk : Okezone News
87,Negative,Narapidana Jadi Calon Kepala Daerah Menurunkan Integritas Seorang Pemimpin : Okezone News
88,Neutral,Ada 10 Kepala Daerah Punya Rekening Gendut Mendagri: Datanya di PPATK
89,Negative,Syarat Memiliki E-KTP Dapat Memicu Konflik - Kompas.com
90,Neutral,Metro | Aturan Cuti Petahana Sebaiknya Opsional
91,Neutral,Antisipasi Banjir DKI Akan Bangun Embung di Pondok Labu - Kompas.com
92,Neutral,Antisipasi Cyber Attack BIN Bisa Gandeng Lemsaneg : Okezone News
93,Negative,Berupaya Ledakkan Tempat Ibadah Tiga Perempuan Prancis Ditangkap : Okezone News
94,Neutral,Politik | Megawati Minta Basarnas Latih Kader Baguna PDIP
95,Positive,Politik | PDIP Jalin Kerja Sama dengan Basarnas & BMKG
96,Positive,Peristiwa | Basarnas Jalin Kerja Sama dengan PDIP
97,Negative,Pencari Madu Hutan Ditemukan Tewas di Gunung Jayanti Diduga Disengat Lebah
98,Negative,Cuci Daging Kurban di Sungai 3 Pemuda Hanyut dan Hilang di Brebes
99,Negative,Penanganan Imigran Ilegal Dinilai Masih Parsial - Kompas.com
100,Negative,Guru Bahasa Inggris Bercinta dengan Siswa 17 Tahun : Okezone News
101,Neutral,Pengakuan Salwa dan Salma selama Dibawa Kabur Penculik
102,Positive,Polda Papua Turunkan Tim Khusus Usut Penembakan Guru : Okezone News
103,Negative,Hemat Anggaran Negara Ini Pangkas 25.000 PNS
104,Neutral,Selama Hilang Salwa dan Salma Sempat Dibawa ke Garut dan Jakarta : Okezone News
105,Negative,Jambret HP Pemuda Pengangguran Diringkus : Okezone News
106,Positive,MUI Imbau Jangan Mudah Percaya pada Orang yang Mengaku Guru Spiritual Padahal Sesat
107,Neutral,Polisi: Geng Motor di Jagakarsa Tak Terkait Padepokan Mahesa Kurung
108,Negative,Salwa dan Salma Sempat Diturunkan Paksa dari Dalam Mobil : Okezone News
109,Neutral,Melempar Simbol Penindasan Keserakahan dan Kemunafikan
110,Neutral,Melempar Simbol Penindasan Keserakahan dan Kemunafikan
111,Positive,Menguak Rekam Jejak Pengasuh Salwa dan Salma : Okezone News
112,Negative,Orangtua Yakin Penculikan Salwa dan Salma Sudah Direncanakan : Okezone News
113,Neutral,Soal Pilgub DKI Politisi PDIP Maruarar Minta Ahok Berguru ke Jokowi
114,Neutral,Cegah Pelaku Teror dari Kalangan Anak BNPT Gandeng 17 Kementerian
115,Positive,Lima Percobaan Pembunuhan Gagal Terhadap Para Pemimpin Dunia : Okezone News
116,Positive,Antisipasi Macet Saat Pembukaan PON Polisi Berlakukan Buka Tutup Menuju GBLA
117,Positive,Presiden Jokowi Optimis Indonesia Bisa Mandiri Produksi Alutsista : Okezone News
118,Neutral,Mardani Hormati Rencana Dibentuknya Poros Baru dalam Pilkada DKI - Kompas.com
119,Positive,DPR Akan Konsisten Kawal Revisi UU Antiterisme
120,Positive, Kaum Ibu Diharapkan Jadi Pelopor Kesehatan
121,Neutral,Pelabuhan New Priok Beroperasi Kapal Besar Tak Perlu Transit ke Singapura
122,Neutral,Menpar Dengungkan Pidato Jokowi Saat Promosikan Pariwisata RI Di Shanghai
123,Neutral,Bupati Simalungun Ajak Masyarakat Cintai Danau Toba
124,Netral,Revolusi Menuju Swasembada Daging
125,Neutral,Rachmawati: Pemerintah Harus Mengacu pada UUD 1945
126,Neutral,Aneh Harga Daging Sapi Di Sukabumi Masih Rp120.000/Kg
127,Neutral,Kamerad Jelaskan Alasan Mengapa Kepala BIN Harus Diganti
128,Neutral, Ruhut: Terserah Pak SBY Aku Tetap Ahok
129,Neutral,Pelindo II Minta Kapal Tak Perlu Singgah di Singapura Kenapa?
130,Neutral,Ruhut Sitompul: Terserah Pak SBY Aku Tetap Ahok
131,Neutral,Wow! SBY sebut Visi Misi Jokowi selama 2 tahun hanya ?omdo?
132,Neutral,Ketika Jokowi Ikut Kontes Domba dan SBY Pilih Orasi Ilmiah
133,Neutral,SBY Sebut Konsep Poros Maritim Jokowi Cuma Retorika
134,Neutral,Ruhut Cuek Beda Sikap dengan SBY: Ya Terserah Aku Tetap Ahok
135,Neutral,SBY Tekankan Perlunya Pembangunan Ekonomi Kemaritiman
136,Neutral, Ketika Hari Libur Jokowi Ikut Kontes Domba SBY Pilih Orasi Ilmiah
137,Neutral,Sri Mulyani Tak Memiliki Media Sosial
138,Neutral,Ruhut: Ya Terserah Pak SBY Aku Tetap Ahok
139,Neutral,Pelabuhan Kalibaru Beropersi Kapal Tak Perlu Singgah di Singapura
140,Neutral,Presiden Joko Widodo Akan Hadiri KTT G20
141,Neutral,Beda Pilihan dengan SBY Ruhut Mati?matian Tetap Ahok
142,Neutral,Ruhut: Terserah Pak SBY Aku Tetap Ahok
143,Neutral, Ruhut Cuek Beda Sikap dengan SBY: Ya Terserah Aku Tetap Ahok
144,Neutral,Domba Bima Arya Ke Istana Bogor Ngapain Ya?
145,Neutral,Presiden ke Shanghai Hadiri KTT G20 dan Temui Masyarakat Indonesia
146,Neutral,Awal September Menteri ESDM Baru Sudah Ada?
147,Neutral,Ruhut: Terserah Pak SBY Aku Tetap Ahok
148,Neutral,Ini Nama?Nama Domba Milik Jokowi Dilepas di Halaman Istana Bogor dan Diberi Makan Ubi
149,Neutral,Presiden akan hadiri KTT G20
150,Neutral,Harga daging sapi di Sukabumi masih Rp120.000/kg
151,Negative,Presiden Jokowi Ancam Obok?obok Kementerian
152,Negative,Ahok: Kemang dan Mampang Masih Akan Kebanjiran
153,Negative,Penundaan DAU Dikhawatirkan Pengaruhi Perhotelan Purwokerto
154,Negative,Pengamat Politik Sebut Perilaku Ahok Merugikan Jokowi
155,Negative,Pengamat Politik Sebut Perilaku Ahok Merugikan Jokowi
156,Positive,Demi Lakukan Aksi Tuntut Rusman Ali Maju Pilkada Warga Ini Rela Datang Sejak Pagi Meski Hujan - Tri
157,Neutral,Inilah Hasil Rekapitulasi Kartius-Pensong di Rapat Pleno KPU Kalbar Ada Daerah Yang Nol Dukungan - 
158,Negative,Imam Anshori Saleh: Beberapa KPU Di Daerah Tidak Profesional Dalam Verifikasi Faktual - Kantorberita
159,Positive,Serahkan Berkas ke KPU Pasangan Werry-Nasir Klaim 47 Ribu e-KTP Lampaui Persyaratan - Tribun Pontia
160,Positive,Serahkan 47 Ribu e-KTP Dukungan ke KPU Pasangan Werry  Nasir Optimis Menangkan Pilbup Kubu Raya 20
161,Positive,Selain Bank Ratu Prabu Juga Gandeng Kontraktor China Bangun LRT
162,Negative,Ini 3 Maskapai Dalam Negeri yang Lagi 'Goyang'
163,Negative,Dihantam Isu Boikot Saham Starbucks Sudah Turun 15
164,Positive,Melonjak Tinggi Ekonomi Singapura Tumbuh 5
165,Neutral,Menjelajah Museum IKEA Berisi Perabotan Jadul
166,Neutral,Sandiaga Uno Mau Jual Saham BUMD DKI Apa Saja?
167,Neutral,Siapa Yenni Andayani Pengisi Kursi Kosong Dirut Pertamina?
168,Neutral,Ini Dia Pendatang Baru Orang Terkaya RI 2013
169,Positive,Ini Wanita Bergaji Besar HIngga Rp 547 Miliar/Tahun (1)
170,Negative,Daftar Penipuan Investasi Terbesar Dalam Sejarah (2)
171,Positive,Bunga Deposito BCA Turun Jadi 4%
172,Negative,Dicap 'Gagal Bayar' Utang Saham Tambang Bakrie Langsung Anjlok
173,Positive,Buka Pameran Furnitur Jokowi: Ekspor Harus Kita Dorong
174,Neutral,Mengintip Pabrik Pesawat Airbus di China
175,Positive,Menteri PUPR: Bangun Infrastruktur untuk Kejar Ketertinggalan
176,Negative,Ini Alasan Minimnya Penyaluran Kredit ke Sektor Perikanan
177,Neutral,Dirombak Ini Direksi dan Komisaris Baru BRI
178,Positive,Hukuman dari Menteri PUPR untuk Operator Gantry DDT Lalai
179,Positive,PTDI Kirim Pesawat dan Heli Canggih Buat TNI
180,Positive,BI Ramal Ekonomi RI Bisa Tumbuh 55% Tahun Ini
181,Negative,Cadangan Devisa RI Turun Jadi US$ 1259 Miliar
182,Positive,Beredar Usulan Gaji Jokowi Rp 553 Juta
183,Positive,Suami-Istri Terkaya di Dunia Hartanya Rp 1.000 Triliun (2)
184,Neutral,Turki Tarik Duta Besar dari Austria
185,Neutral,Heboh Jasa Kencan Pramugari Rp7 Juta di Hotel Kalibata
186,Neutral,Ada Ahok di Antara Ruhut dan Demokrat
187,Neutral,Ratusan Personel Sabhara Digembleng Pengendalian Massa
188,Neutral,Kapolda Satu Ini Memang Mbois Pol
189,Neutral,Bongkar Prostitusi Online Polisi Sebut Pelanggan Jasa Muncikai ANY Banyak Para Pengusaha
190,Positive,Berantas prostitusi online polisi klaim blokir 120 situs mesum
191,Neutral,Gubernur Jateng dan Wagub DKI Main Ketoprak Bareng
192,Neutral,Tingkatkan Pengunjung Bandara Moskow Buka Toko Kalashnikov
193,Neutral,Neta: Budi Gunawan Segera Pimpin BIN
194,Positive,Kakek 95 Tahun Ini Masuk Daftar Orang Terkaya Filipina
195,Positive,RI Impor Beras Mendag: Dijual dengan Harga Medium
196,Negative,Kapan Kemenhub Tindak Tegas Sopir Taksi Online 'Nakal'?
197,Negative,Miris 116 TV Bikinan Kusrin Dihancurkan Saat Proses Mengurus SNI
198,Negative,Awas! Bitcoin Pernah Dijadikan Modus Investasi Bodong
199,Neutral,Para Miliuner Dunia Pun Pernah Hidup Miskin Ini Buktinya (1)
200,Positive,Pelindo II Akan Kembangkan Pelabuhan Syariah di Priok
201,Neutral,Daftar Negara Penimbun Emas Terbanyak RI Peringkat Berapa?
202,Positive,BNI Sosialisasi Nama Stasiun BNI City
203,Neutral,Dolar AS Tembus Rp 13.600 Ini Penyebabnya
204,Neutral,Kata Sri Mulyani Soal Aturan SNI Mainan Impor
205,Positive,Ini Dia Pendatang Baru Orang Terkaya RI 2013
206,Positive,Edi Sukmoro Jabat Dirut KAI hingga 2023
207,Positive,Mendongkrak Industri untuk Kejar Pertumbuhan Ekonomi 7%
208,Positive,"UMP Naik 80,71"
209,Positive,Pasca-Konsensus ASEAN RI Dorong Pemutihan Pekerja Ilegal
210,Neutral,Siapa Yenni Andayani Pengisi Kursi Kosong Dirut Pertamina?
211,Neutral,Begini Kondisi Produksi Ikan Tuna di RI
212,Neutral,Ingin Rasakan Mudik dengan Kereta Mewah? Ini Rutenya
213,Neutral,Kenapa Harga Daging Ayam Belum Turun Juga?
214,Positive,Rini Rombak Jajaran Direksi PLN
215,Positive,Marak Kecelakaan Kerja Menhub Minta Jangan Asal Pilih Konsultan
216,Positive,The Fed Mau Bikin Mata Uang Virtual Pesaing Bitcoin Cs
217,Negative,Cadangan Devisa RI Februari Turun Jadi US$ 128 Miliar
218,Negative,Dilema Fresh Graduate Lamaran Ditolak Karena Belum Pengalaman
219,Negative,Tukang Goreng Saham Bandar atau Bandit?
220,Negative,Rupiah Anjlok 15%: Agus Marto: Kita Jangan Khawatir
221,Positive,Naik Lagi Cadangan Devisa RI Kini US$ 131 Miliar
222,Positive,Aksi Susi Tenggelamkan Kapal Terancam Dihentikan
223,Negative,Ancaman Jokowi dan Menteri ke Spekulan Beras
224,Neutral,Stasiun Kereta Bandara Sudirman Baru atau BNI City?
225,Neutral,Jangan Mudah Percaya Investasi Cari Tahu Dulu ke OJK
226,Positive,Transaksi 'Jaman Now' Bye-bye Tunai
227,Positive,Mudik Makin Berkelas Pakai Jet Pribadi
228,Positive,Pemerintah Telusuri Penjual Pulau Indonesia di Situs Online
229,Neutral,Komisaris Baru BNI dari Mantan Menteri Hingga Politisi PDIP
230,Negative,Ini 4 Kasus Indonesia dengan WTO
231,Negative,Pegawai Tak Tahu Debenhams Tutup Akhir Tahun Ini
232,Neutral,Beras Medium Langka Ini Penjelasan Kementan
233,Negative,Subsidi dan Utang Membengkak Pemerintah Harus Hati-hati
234,Neutral,Mendag Sebut Hubungannya dengan Mentan Tak Perlu Dikhawatirkan
235,Positive,Menteri PPN Ajak ISEI Bangun Ekonomi RI
236,Negative,Terus Turun Emas Antam Dijual Rp 630 Ribu/Gram
237,Positive,BI Sebut Investasi Berorientasi Ekspor Bisa Tekan Rasio Utang
238,Positive,Kondisi Yunani Prancis Hingga Jerman Masuk Radar Pantauan BI
